date, pm25, pm10, o3, no2, so2, co
2021/4/5, 117, 57, 20, 6, 16, 
2021/4/6, 99, 38, 34, 6, 9, 
2021/4/7, 51, 35, 30, 3, 5, 
2021/4/8, 48, 41, 25, 5, 5, 
2021/4/9, 64, 58, 18, 4, 11, 
2021/4/10, 93, 50, 11, 9, 14, 
2021/4/11, 83, 34, 22, 9, 8, 
2021/4/12, 42, 34, 21, 4, 5, 
2021/4/13, 37, 30, 18, 4, 5, 
2021/4/14, 31, 32, 19, 3, 5, 
2021/4/15, 33, 28, 16, 3, 4, 
2021/4/16, 33, 27, 18, 4, 4, 
2021/4/17, 38, 38, 13, 5, 9, 
2021/4/18, 58, 37, 14, 8, 19, 
2021/4/19, 46, 28, 26, 4, 5, 2
2021/4/20, 32, 27, 22, 3, 4, 2
2021/4/21, 32, 31, 23, 2, 4, 
2021/4/22, 32, 31, 23, 3, 3, 2
2021/4/23, 31, 35, 18, 4, 4, 2
2021/4/24, 38, 24, 23, 4, 3, 
2021/4/25, 33, , 21, 3, 4, 
2021/3/1, 70, 36, 18, 5, 5, 3
2021/3/2, 53, 57, 15, 7, 6, 4
2021/3/3, 99, 35, 16, 4, 6, 4
2021/3/4, 61, 30, 13, 9, 1, 4
2021/3/5, 53, 45, 18, 12, 4, 4
2021/3/6, 84, 53, 25, 5, 8, 3
2021/3/7, 86, 58, 17, 7, 1, 3
2021/3/8, 101, 39, 19, 4, 1, 1
2021/3/9, 55, 46, 16, 6, , 2
2021/3/10, 60, , , , , 
2021/2/1, 134, 47, 29, 3, 2, 1
2021/2/2, 77, 52, 32, 4, 4, 2
2021/2/3, 83, 61, 34, 8, 3, 2
2021/2/4, 107, 63, 38, 6, 2, 2
2021/2/5, 111, 63, 37, 5, 1, 2
2021/2/6, 112, 59, 33, 4, 2, 2
2021/2/7, 100, 76, 28, 6, 4, 3
2021/2/8, 137, 15, 18, 2, 1, 
2021/2/9, 27, 55, 33, 4, 4, 
2021/2/10, 108, 38, 34, 2, 5, 
2021/2/11, 64, 41, 36, 2, 3, 
2021/2/12, 71, 40, 41, 1, 3, 
2021/2/13, 69, 47, 40, 2, 3, 
2021/2/14, 83, 41, 29, 3, 1, 
2021/2/15, 71, 40, 27, 2, 1, 
2021/2/16, 68, 44, 25, , 5, 
2021/2/17, 75, 63, 35, 7, 10, 4
2021/2/18, 118, 63, 45, 15, 10, 3
2021/2/19, 110, 61, 56, 8, 7, 3
2021/2/20, 110, 52, 42, 3, 1, 2
2021/2/21, 83, 46, 32, 3, 1, 2
2021/2/22, 71, 49, 34, 2, 1, 2
2021/2/23, 79, 39, 27, 2, 1, 1
2021/2/24, 62, 32, 23, 2, 1, 1
2021/2/25, 50, 31, 32, 4, 1, 1
2021/2/26, 46, , , , , 
2021/1/6, 164, 66, 30, 9, 57, 4
2021/1/7, 120, 26, 19, 6, 15, 4
2021/1/8, 31, 37, 17, 3, 7, 4
2021/1/9, 50, 53, 23, 2, 11, 2
2021/1/10, 75, 56, 27, 4, 17, 2
2021/1/11, 71, 70, 27, 5, 17, 2
2021/1/12, 100, 101, 39, 8, 18, 3
2021/1/13, 163, 89, 54, 18, 22, 4
2021/1/14, 159, 109, 57, 14, 20, 4
2021/1/15, 185, 111, 30, 20, 22, 5
2021/1/16, 185, 83, 21, 24, 28, 5
2021/1/17, 143, 61, 22, 10, 16, 4
2021/1/18, 93, 84, 38, 7, 12, 3
2021/1/19, 141, 93, 52, 14, 19, 5
2021/1/20, 159, 108, 44, 16, 12, 
2021/1/21, 182, 147, 13, 29, 33, 7
2021/1/22, 244, 128, 32, 24, 28, 7
2021/1/23, 217, 81, 36, 22, 22, 7
2021/1/24, 157, 62, 41, 9, 10, 5
2021/1/25, 112, 51, 27, 9, 7, 3
2021/1/26, 78, 42, 30, 7, 5, 2
2021/1/27, 68, 58, 39, 4, 4, 2
2021/1/28, 84, 69, 20, 10, 12, 4
2021/1/29, 121, 94, 29, 9, 20, 4
2021/1/30, 169, 82, 20, 25, 19, 5
2021/1/31, 139, 75, 24, 22, 19, 3
2020/11/2, 31, 18, 17, , 11, 
2020/11/3, 26, 40, 21, , 10, 
2020/11/4, 65, 64, 34, , 12, 
2020/11/5, 122, 69, 41, , 14, 
2020/11/6, 137, 35, 42, , 11, 
