date, pm25, pm10, o3, no2, so2, co
2020/9/15, 3, , , 5, 2, 3
2020/9/17, 12, 10, 21, 9, 2, 7
2020/9/18, 6, , , 7, 2, 5
2020/9/22, 6, 9, 12, 3, 2, 2
2020/9/23, 11, 12, 17, 5, 2, 3
2020/9/24, 13, 10, 19, 6, , 4
2020/9/25, 12, 2, 10, 5, 2, 4
2020/9/26, 3, 138, 6, 7, 2, 6
2020/9/27, 152, , 16, 7, 2, 7
2020/4/1, 10, 6, , 5, 5, 2
2020/4/2, 10, 9, , 6, 5, 2
2020/4/3, 14, 7, , 4, 5, 2
2020/4/4, 12, 5, , 4, 5, 2
2020/4/5, 9, 6, , 5, 5, 2
2020/4/6, 11, 7, , 5, 5, 3
2020/4/7, 12, 7, , 7, 5, 3
2020/4/8, 13, 10, , 6, 5, 4
2020/4/9, 17, 8, , 6, 5, 4
2020/4/10, 15, 8, , 5, 5, 2
2020/4/11, 15, 7, , 5, 5, 2
2020/4/12, 12, 9, , 10, 5, 4
2020/4/13, 16, 7, , 8, 5, 3
2020/4/14, 12, 10, , 6, 5, 2
2020/4/15, 15, 10, , 6, 5, 2
2020/4/16, 16, 9, , 5, 5, 2
2020/4/17, 15, 8, , 4, 5, 2
2020/4/18, 14, 6, , 4, 5, 2
2020/4/19, 10, 7, , 4, 5, 3
2020/4/20, 13, 9, , 5, 5, 3
2020/4/21, 14, 7, , 5, 5, 2
2020/4/22, 12, 7, , 4, 5, 2
2020/4/23, 11, 6, , 4, 5, 2
2020/4/24, 8, 5, , 5, 5, 2
2020/4/25, 8, 4, , 3, 5, 1
2020/4/26, 7, 6, , 3, 5, 1
2020/4/27, 7, 13, , 5, 5, 2
2020/4/28, 16, 13, , 5, 5, 2
2020/4/29, 15, 10, , 5, 5, 2
2020/4/30, 10, 11, , 4, 5, 2
2020/5/1, 14, 8, , 3, 5, 2
2020/5/2, 9, 7, , 4, 5, 2
2020/5/3, 10, 7, , 5, 5, 2
2020/5/4, 9, 11, , 7, 5, 3
2020/5/5, 11, 19, , 7, 5, 3
2020/5/6, 15, 12, , 8, 5, 3
2020/5/7, 11, 7, , 7, 5, 3
2020/5/8, 8, 13, , 7, 5, 3
2020/5/9, 12, 9, , 6, 6, 3
2020/5/10, 11, 11, , 6, 6, 3
2020/5/11, 13, 9, , 4, 6, 2
2020/5/12, 12, 9, , 5, 5, 2
2020/5/13, 13, 7, , 5, 6, 2
2020/5/14, 12, 12, , 6, 5, 3
2020/5/15, 14, 12, , 8, 6, 4
2020/5/16, 14, 10, , 7, 6, 3
2020/5/17, 13, 20, , 12, 6, 5
2020/5/18, 26, 21, , 14, 6, 6
2020/5/19, 24, 19, , 12, 6, 5
2020/5/20, 24, 18, , 10, 6, 3
2020/5/21, 20, 18, , 12, 7, 5
2020/5/22, 18, 19, , 11, 6, 5
2020/5/23, 19, 15, , 11, 7, 4
2020/5/24, 17, 12, , 11, 6, 4
2020/5/25, 11, 12, , 10, 6, 4
2020/5/26, 12, 11, , 10, 6, 5
2020/5/27, 15, 18, , 9, 6, 4
2020/5/28, 18, 18, , 9, 6, 4
2020/5/29, 19, 14, , 11, 6, 4
2020/5/30, 14, 6, , 5, 7, 2
2020/5/31, 7, 9, , 7, 27, 3
2020/6/1, 11, 16, , 9, 6, 4
2020/6/2, 14, 11, , 9, 6, 3
2020/6/3, 14, 16, , 11, 6, 4
2020/6/4, 21, 17, , 10, 6, 5
2020/6/5, 17, 24, , 11, 12, 5
2020/6/6, 20, 21, , 8, 1, 4
2020/6/7, 19, 19, , 13, 1, 5
2020/6/8, 17, 18, , 13, 1, 5
2020/6/9, 20, 16, , 12, 1, 5
