date, pm25, pm10, o3, no2, so2, co
2020/6/22, 9, 8, 29, 10, 28, 5
2020/6/23, 11, 8, 34, 10, 28, 4
2020/6/24, 10, 16, 27, 10, 28, 5
2020/6/25, 15, 7, 32, 5, 28, 4
2020/6/26, 9, 6, 29, 4, , 4
2020/6/27, 9, 9, 24, 3, , 4
2020/6/28, 14, , , , , 
2020/2/26, 17, 31, 16, 37, 6, 8
2020/2/27, 20, 25, 22, 24, 7, 8
2020/2/28, 17, 26, 20, 21, 7, 8
2020/2/29, 20, 31, 12, 24, 7, 8
2020/3/1, 23, , , , , 
2019/10/8, 13, 11, 35, 4, 8, 1
2019/10/9, 11, 12, 26, 3, 11, 1
2019/10/10, 14, , , , , 
2019/7/1, 9, 5, 49, 1, 5, 7
2019/7/2, 7, 7, 48, 3, 5, 7
2019/7/3, 11, 6, 39, 7, 5, 7
2019/7/4, 13, 10, 49, 5, 5, 7
2019/7/5, 18, 13, 70, 5, 5, 7
2019/7/6, 19, 16, 77, 5, 5, 7
2019/7/7, 23, 17, 68, 4, 5, 7
2019/7/8, 27, 14, 70, 4, 6, 7
2019/7/9, 19, 6, 21, 6, 6, 8
2019/7/10, 10, 9, 54, 2, 5, 7
2019/7/11, 13, 15, 61, 4, 5, 7
2019/7/12, 21, 15, 70, 4, 5, 7
2019/7/13, 23, 15, 46, 5, 6, 7
2019/7/14, 22, 10, 53, 3, 6, 7
2019/7/15, 16, 9, 41, 2, 5, 7
2019/7/16, 13, 9, 51, 3, 5, 7
2019/7/17, 14, 9, 58, 2, 6, 7
2019/7/18, 14, 11, 66, 4, 6, 7
2019/7/19, 16, 12, 48, 7, 8, 7
2019/7/20, 16, 11, 48, 6, 6, 7
2019/7/21, 15, 9, 29, 8, 8, 7
2019/7/22, 14, 9, 31, 6, 9, 7
2019/7/23, 14, 7, 24, 4, 6, 7
2019/7/24, 9, 8, 24, 2, 6, 7
2019/7/25, 9, , , , , 
2019/7/27, 8, 10, 10, 4, 6, 7
2019/7/28, 13, , , , , 
2019/7/30, 286, 6, , 3, 6, 7
2019/7/31, 9, 4, , 2, 6, 7
2019/8/1, 7, 3, , 1, 7, 7
2019/8/2, 4, 2, , 4, 6, 7
2019/8/3, 3, 4, , 1, 6, 7
2019/8/4, 5, 7, , 2, 6, 7
2019/8/5, 6, 12, 43, 4, 7, 7
2019/8/6, 7, 16, 91, 9, 7, 7
2019/8/7, 13, 17, 67, 6, 9, 7
2019/8/8, 14, 12, 50, 3, 7, 7
2019/8/9, 9, 17, 72, 6, 8, 8
2019/8/10, 13, 10, 57, 5, 7, 7
2019/8/11, 7, 14, 65, 6, 7, 7
2019/8/12, 9, 16, 96, 8, 8, 7
2019/8/13, 12, 21, 64, 5, 8, 7
2019/8/14, 16, 18, 26, 5, 8, 7
2019/8/15, 14, 11, , 2, 7, 7
2019/8/16, 13, 10, , 3, 7, 7
2019/8/17, 12, 14, , 6, 7, 7
2019/8/18, 19, 18, , 5, 9, 7
2019/8/19, 22, 13, 47, 4, 7, 7
2019/8/20, 12, 13, 43, 4, 9, 7
2019/8/21, 12, 12, 30, 2, 7, 7
2019/8/22, 9, 12, 37, 3, 7, 7
2019/8/23, 11, 11, 32, 1, 7, 7
