date, pm25, pm10, no2, so2, co
2021/4/1, 58, 32, 11, 2, 5
2021/4/2, 44, 36, 15, 2, 6
2021/4/3, 43, 45, 13, 10, 5
2021/4/4, 62, 23, 6, 4, 5
2021/4/5, 23, 48, 8, 6, 5
2021/4/6, 67, 55, 9, 5, 6
2021/4/7, 76, 46, 8, 4, 4
2021/4/8, 56, 24, 4, 3, 4
2021/4/9, 23, 24, 7, 3, 5
2021/4/10, 29, 34, 4, 5, 5
2021/4/11, 42, 40, 7, 4, 5
2021/4/12, 40, 37, 7, 2, 4
2021/4/13, 35, 41, 7, 5, 4
2021/4/14, 42, 38, 9, 5, 4
2021/4/15, 34, 35, 7, 4, 4
2021/4/16, 36, 20, 4, 6, 4
2021/4/17, 18, 19, 4, 5, 4
2021/4/18, 17, 39, 4, 4, 6
2021/4/19, 49, 36, 5, 5, 5
2021/4/20, 39, 39, 4, 3, 4
2021/4/21, 42, 39, 6, 4, 4
2021/4/22, 38, 32, 6, 3, 3
2021/4/23, 32, 34, 6, 4, 3
2021/4/24, 40, 34, 7, 4, 3
2021/4/25, 41, 23, 6, 5, 4
2021/4/26, 24, 19, 5, 6, 4
2021/4/27, 19, , , , 
2021/3/1, 47, 27, 5, 1, 5
2021/3/2, 35, 45, 11, 1, 7
2021/3/3, 62, 40, 10, 1, 7
2021/3/4, 58, 48, 17, 1, 10
2021/3/5, 77, 44, 12, 5, 10
2021/3/6, 67, 42, 10, 2, 8
2021/3/7, 59, 71, 17, 2, 9
2021/3/8, 123, 40, 12, 2, 7
2021/3/9, 51, 47, 10, 5, 7
2021/3/10, 57, 43, 14, 2, 8
2021/3/11, 54, 64, 16, 6, 8
2021/3/12, 90, 56, 16, 4, 7
2021/3/13, 78, 67, 13, 5, 8
2021/3/14, 109, 55, 12, 3, 7
2021/3/15, 74, 38, 11, 2, 8
2021/3/16, 51, 41, 11, 7, 6
2021/3/17, 49, 44, 12, 5, 6
2021/3/18, 56, 38, 13, 6, 6
2021/3/19, 44, 28, 13, 5, 6
2021/3/20, 34, 22, 9, 8, 5
2021/3/21, 27, 44, 6, 6, 5
2021/3/22, 40, 92, 11, 7, 6
2021/3/23, 95, 98, 17, 13, 7
2021/3/24, 138, 76, 21, 4, 7
2021/3/25, 122, 37, 15, 2, 6
2021/3/26, 60, 20, 8, 3, 5
2021/3/27, 29, 28, 11, 2, 3
2021/3/28, 40, 48, 10, 2, 6
2021/3/29, 67, 46, 12, 3, 6
2021/3/30, 57, 54, 18, 4, 8
2021/3/31, 69, 46, 12, 3, 4
2021/2/1, 162, 70, 14, 9, 8
2021/2/2, 110, 84, 18, 11, 9
2021/2/3, 144, 69, 15, 8, 7
2021/2/4, 107, 81, 14, 8, 8
2021/2/5, 137, 76, 19, 8, 8
2021/2/6, 127, 76, 16, 8, 8
2021/2/7, 124, 75, 26, 21, 13
2021/2/8, 125, 19, 7, 7, 6
2021/2/9, 37, 37, 9, 7, 8
2021/2/10, 60, 55, 11, 6, 9
2021/2/11, 98, 52, 6, 7, 6
2021/2/12, 87, 55, 10, 8, 7
2021/2/13, 92, 50, 9, 6, 6
2021/2/14, 82, 55, 9, 11, 6
2021/2/15, 93, 38, 9, 6, 6
2021/2/16, 59, 27, 9, 6, 5
2021/2/17, 37, 49, 10, 7, 6
2021/2/18, 73, 71, 11, 7, 8
2021/2/19, 129, 76, 11, 7, 7
2021/2/20, 136, 63, 8, 6, 6
2021/2/21, 96, 56, 11, 7, 7
2021/2/22, 84, 55, 10, 2, 6
2021/2/23, 83, 53, 9, 2, 6
2021/2/24, 79, 34, 9, 1, 5
2021/2/25, 45, 42, 13, 3, 6
2021/2/26, 58, 30, 6, 1, 5
2021/2/27, 38, 21, 11, 1, 6
2021/2/28, 33, 30, 17, 1, 10
2021/1/4, 176, 119, 15, 10, 7
2021/1/5, 192, 104, 14, 3, 5
2021/1/6, 178, 79, 7, 2, 5
2021/1/7, 135, 22, 5, 1, 4
2021/1/8, 27, 28, 2, 1, 3
2021/1/9, 40, 61, 9, 3, 3
2021/1/10, 93, 63, 6, 2, 3
2021/1/11, 100, 70, 11, 4, 4
2021/1/12, 112, 103, 15, 7, 6
2021/1/13, 167, 107, 16, 7, 6
2021/1/14, 179, 129, 14, 6, 7
2021/1/15, 209, 146, 18, 7, 7
2021/1/16, 236, 80, 11, 2, 5
2021/1/17, 137, 70, 12, 3, 6
2021/1/18, 126, 109, 19, 6, 8
2021/1/19, 180, 132, 19, 8, 9
2021/1/20, 202, 150, 21, 5, 10
2021/1/21, 244, 137, 17, 5, 8
2021/1/22, 228, 112, 16, 3, 10
2021/1/23, 194, 123, 13, 5, 8
2021/1/24, 208, 109, 17, 4, 9
2021/1/25, 194, 112, 21, 7, 9
2021/1/26, 185, 94, 14, 5, 8
2021/1/27, 165, 65, 18, 5, 8
2021/1/28, 103, 71, 12, 3, 9
2021/1/29, 122, 100, 20, 6, 10
2021/1/30, 170, 115, 14, 1, 7
2021/1/31, 187, 97, 14, 1, 7
2020/10/1, 46, 45, 11, , 6
2020/10/2, 63, 25, 7, , 9
2020/10/3, 32, 46, 5, , 4
2020/10/4, 64, 41, 4, , 2
2020/10/5, 61, 19, 3, , 8
2020/10/6, 23, 21, 5, , 5
2020/10/7, 24, 26, 6, , 6
2020/10/8, 32, 24, 4, , 6
2020/10/9, 29, 27, 7, , 13
2020/10/10, 35, 30, 7, , 5
2020/10/11, 43, 59, 11, , 6
2020/10/12, 97, 69, 8, , 6
2020/10/13, 127, 28, 5, , 5
2020/10/14, 43, 20, 8, , 7
2020/10/15, 25, 24, 6, , 5
2020/10/16, 30, 25, 7, , 5
2020/10/17, 27, 35, 10, , 5
2020/10/18, 46, 34, 10, , 5
2020/10/19, 44, 39, 9, , 5
2020/10/20, 49, 48, 10, , 6
2020/10/21, 74, 59, 13, , 6
2020/10/22, 89, 68, 13, , 6
2020/10/23, 91, 73, 16, , 9
2020/10/24, 112, 82, 6, , 26
2020/10/25, 126, 61, 11, , 5
2020/10/26, 102, 48, 10, , 8
2020/10/27, 72, 53, 9, , 6
2020/10/28, 74, 29, 5, , 5
2020/10/29, 44, 21, 9, , 6
2020/10/30, 32, 32, 10, , 7
2020/10/31, 44, 73, 13, , 9
2020/11/1, 124, 59, 10, , 6
2020/11/2, 102, 33, 6, , 5
2020/11/3, 43, 60, 12, , 6
2020/11/4, 91, 82, 13, , 7
2020/11/5, 141, 83, 15, , 9
2020/11/6, 150, , , , 
2020/11/8, 95, 73, 15, , 6
2020/11/9, 116, 78, 18, , 6
