date, pm25, pm10, o3, no2, so2, co
2018/11/30, 50, 19, , , 98, 
2018/12/1, 54, , , , 98, 
2018/12/3, 70, 27, , , 96, 
2018/12/4, 66, 12, , , 96, 
2018/12/5, 39, , , , 97, 
2018/12/18, 132, 49, , , 41, 
2018/12/19, 100, , , , , 
2017/8/13, 772, 152, 169, , , 
2017/8/14, 999, , 31, , , 
2017/8/24, 2, 144, 48, , , 
2017/8/25, 2, , 10, , , 
2017/2/10, 17, , 51, 1, , 30
2016/1/20, 67, 38, 23, 14, , 35
2016/1/21, 89, 33, 21, 12, , 35
2016/1/22, 78, 9, 20, 8, , 44
2016/1/23, 32, 5, 27, 7, , 30
2016/1/24, 21, 19, 19, 13, , 31
2016/1/25, 54, 21, 27, 10, , 43
2016/1/26, 69, 26, 20, 13, , 31
2016/1/27, 66, 38, 14, 13, , 47
2016/1/28, 87, , , , , 
2016/2/6, 138, 62, 59, 11, , 30
2016/2/7, 139, 55, 44, 10, , 27
2016/2/8, 120, , , , , 
2016/2/22, 20, 26, 30, 13, 3, 31
2016/2/23, 66, 4, 22, 9, 4, 27
2016/2/24, 15, 5, 27, 9, 4, 25
2016/2/25, 21, 17, 20, 10, 5, 35
2016/2/26, 55, , , , , 
2015/10/1, 64, 21, 56, 10, 3, 37
2015/10/2, 53, 18, 22, 8, 4, 30
2015/10/3, 48, 31, 19, 9, 8, 33
2015/10/4, 71, 16, 26, 7, 7, 28
2015/10/5, 42, 15, 20, 5, 4, 28
2015/10/6, 37, 11, 21, 8, 3, 28
2015/10/7, 27, 13, 20, 7, 4, 29
2015/10/8, 36, 20, 22, 9, 8, 30
2015/10/9, 48, 14, 30, 6, 3, 28
2015/10/10, 37, 6, 25, 12, 4, 23
2015/10/11, 21, 15, 30, 12, 3, 25
2015/10/12, 49, 20, 36, 13, 4, 26
2015/10/13, 60, 16, 34, 12, 4, 28
2015/10/14, 52, 32, 36, 12, 3, 35
2015/10/15, 79, 46, 28, 16, 3, 36
2015/10/16, 101, 52, 48, 13, 3, 36
2015/10/17, 113, 51, 63, 11, 4, 31
2015/10/18, 119, 50, 51, 12, 4, 32
2015/10/19, 111, 41, 57, 13, 5, 32
2015/10/20, 92, 18, 60, 12, 3, 30
2015/10/21, 48, 7, 53, 11, 3, 32
2015/10/22, 23, 6, 44, 9, 3, 28
2015/10/23, 18, 15, 41, 10, 3, 26
2015/10/24, 36, 30, 34, 10, 4, 28
2015/10/25, 73, 26, 28, 9, 4, 28
2015/10/26, 63, 22, 20, 5, 4, 26
2015/10/27, 52, 19, 18, 5, 6, 30
2015/10/28, 44, , , , , 
2015/11/2, 60, 22, 31, 11, 4, 30
2015/11/3, 62, 19, 26, 10, 6, 29
2015/11/4, 59, 11, 21, 8, 8, 26
2015/11/5, 35, 12, 16, 7, 4, 29
2015/11/6, 37, 15, 21, 5, 3, 26
2015/11/7, 41, 14, 16, 5, 3, 24
2015/11/8, 39, 15, 16, 5, 4, 24
2015/11/9, 44, 16, 17, 5, 3, 24
2015/11/10, 44, 19, 19, 4, 3, 30
2015/11/11, 47, 21, 43, 4, 3, 29
2015/11/12, 51, 20, 19, 7, 5, 9
2015/11/13, 48, , , , , 
2015/11/17, 74, , , , , 
2015/11/19, 42, 15, 14, 6, 3, 29
2015/11/20, 40, 14, 16, 8, 7, 26
2015/11/21, 39, 13, 19, 6, 4, 29
2015/11/22, 37, 8, 22, 6, 4, 24
2015/11/23, 21, 3, 24, 8, 4, 25
2015/11/24, 10, 3, 30, 6, 4, 21
2015/11/25, 8, 4, 52, 6, 5, 28
2015/11/26, 11, 9, 35, 14, 4, 36
2015/11/27, 32, 8, 21, 20, 3, 31
2015/11/28, 30, 4, 26, 10, 3, 29
2015/11/29, 15, 11, 26, 10, 7, 30
2015/11/30, 28, 4, 26, 6, 5, 25
2015/12/1, 10, 3, 27, 7, 7, 24
2015/12/2, 9, 3, 25, 4, 4, 23
2015/12/3, 9, 3, 28, 6, 4, 25
2015/12/4, 9, , , , , 
2015/7/1, 45, 41, 24, 12, 3, 29
2015/7/2, 53, 45, 32, 10, 3, 28
