date, pm25, pm10, o3, no2, so2
2021/4/1, 174, 117, 1, 9, 5
2021/4/2, 154, 101, 1, 5, 2
2021/4/3, 100, 65, 1, 3, 2
2021/4/4, 86, 69, 1, 2, 2
2021/4/5, 51, 87, 1, 6, 2
2021/4/6, 93, 89, 1, 6, 2
2021/4/7, 101, 91, 1, 3, 2
2021/4/8, 81, 60, 1, 5, 2
2021/4/9, 45, 33, 1, , 5
2021/4/10, 40, 43, 1, , 2
2021/4/11, 53, 94, 1, , 2
2021/4/12, 78, 199, 1, , 2
2021/4/13, 112, 128, 1, , 2
2021/4/14, 107, 178, 1, , 2
2021/4/15, 114, 138, 1, , 2
2021/4/16, 114, 56, 1, , 2
2021/4/17, 41, 61, 1, , 2
2021/4/18, 41, 133, 1, , 21
2021/4/19, 56, 124, 1, , 6
2021/4/20, 93, 140, 1, , 2
2021/4/21, 108, 132, 2, 1, 2
2021/4/22, 108, 135, 1, , 5
2021/4/23, 108, 108, 1, 1, 5
2021/4/24, 102, 121, 1, , 5
2021/4/25, 108, 51, 1, , 6
2021/4/26, 51, 55, , , 6
2021/4/27, 45, , , , 
2021/3/1, 63, 100, 3, , 
2021/3/2, 64, 94, 3, , 
2021/3/3, 91, 68, 3, , 
2021/3/4, 72, 71, 3, , 
2021/3/5, 51, 87, 5, , 
2021/3/6, 65, 112, 4, , 
2021/3/7, 95, 85, 9, , 2
2021/3/8, 108, , 7, , 15
2021/3/15, 117, 136, 8, , 2
2021/3/16, 93, 101, 1, , 3
2021/3/17, 91, 95, 1, , 3
2021/3/18, 74, 85, 1, , 3
2021/3/19, 74, 112, 1, , 5
2021/3/20, 80, 68, 1, , 3
2021/3/21, 50, 134, 1, , 5
2021/3/22, 103, 172, 1, , 7
2021/3/23, 153, 147, 1, , 12
2021/3/24, 155, 77, 1, , 6
2021/3/25, 101, 82, 1, , 6
2021/3/26, 83, 90, 1, , 2
2021/3/27, 77, 87, 1, 8, 2
2021/3/28, 64, 101, 1, 13, 2
2021/3/29, 102, 121, 1, 12, 1
2021/3/30, 146, 141, 1, 11, 1
2021/3/31, 165, 135, 1, 14, 1
2021/2/1, 143, 125, 4, , 
2021/2/2, 134, 123, 3, , 
2021/2/3, 121, 133, 3, , 
2021/2/4, 139, 112, 4, , 
2021/2/5, 141, 105, 4, , 
2021/2/6, 147, 130, 4, , 
2021/2/7, 171, 65, 2, , 
2021/2/8, 103, 25, 2, , 
2021/2/9, 36, 59, 3, , 
2021/2/10, 66, 80, 3, , 
2021/2/11, 116, 67, 3, , 
2021/2/12, 92, 69, 4, , 
2021/2/13, 88, 76, 3, , 
2021/2/14, 103, 76, 4, , 
2021/2/15, 96, 67, 4, , 
2021/2/16, 79, 65, 3, , 
2021/2/17, 64, 72, 3, , 
2021/2/18, 95, 133, 4, , 
2021/2/19, 131, 117, 3, , 
2021/2/20, 154, 106, 5, , 
2021/2/21, 147, 89, 4, , 
2021/2/22, 105, 105, 3, , 
2021/2/23, 141, 148, 3, , 
2021/2/24, 153, 107, 2, , 
2021/2/25, 78, 129, 3, , 
2021/2/26, 93, 96, 3, , 
2021/2/27, 53, 78, 2, , 
2021/2/28, 66, 79, 3, , 
2021/1/4, 250, 216, 1, , 1
2021/1/5, 257, 201, 1, , 1
2021/1/6, 195, 111, 1, , 1
2021/1/7, 141, 76, 1, , 1
2021/1/8, 64, 113, 1, , 1
2021/1/9, 108, 120, 1, , 1
2021/1/10, 115, 131, 1, , 1
2021/1/11, 118, 208, 1, , 1
2021/1/12, 160, 211, 1, , 2
2021/1/13, 197, 242, 1, , 1
2021/1/14, 239, 281, 1, , 2
2021/1/15, 279, 313, 1, , 2
2021/1/16, 287, 116, 1, , 1
2021/1/17, 158, 190, 1, , 1
2021/1/18, 166, 202, 1, , 1
2021/1/19, 191, 277, 1, , 1
2021/1/20, 233, 188, 1, , 1
2021/1/21, 202, 200, 1, , 1
2021/1/22, 205, 224, 1, , 1
2021/1/23, 209, 194, 1, , 1
2021/1/24, 210, 157, 1, , 1
2021/1/25, 174, 174, 1, , 
2021/1/26, 183, 212, 1, , 
2021/1/27, 187, 117, 1, , 
2021/1/28, 119, 172, 1, , 1
2021/1/29, 163, 166, , , 
2021/1/30, 184, 127, 1, , 1
2021/1/31, 183, 121, 1, , 
2020/10/1, 8, 4, , , 1
2020/10/2, 9, 4, , , 1
2020/10/3, 9, 4, , , 1
2020/10/4, 9, 4, , , 1
2020/10/5, 9, 5, , , 1
2020/10/6, 9, 4, , , 1
2020/10/7, 8, 4, , , 1
2020/10/8, 8, 4, , , 1
2020/10/9, 9, 4, , , 1
2020/10/10, 9, 4, , , 1
2020/10/11, 9, 4, , , 1
2020/10/12, 10, 5, , , 1
2020/10/13, 10, 4, , , 1
2020/10/14, 9, 5, , , 1
2020/10/15, 8, 4, , , 1
2020/10/16, 9, 4, , , 1
2020/10/17, 10, 4, , , 1
2020/10/18, 10, 4, 17, , 1
2020/10/19, 9, 4, 25, , 1
2020/10/20, 9, 5, 25, , 1
2020/10/21, 10, 45, 33, , 1
2020/10/22, 41, 86, 30, , 5
2020/10/23, 74, 113, 25, , 10
2020/10/24, 88, 102, 25, , 3
2020/10/25, 126, 52, 20, , 1
2020/10/26, 86, 70, 16, , 1
2020/10/27, 58, 78, 20, , 1
2020/10/28, 72, 50, 22, , 3
2020/10/29, 54, 89, 13, , 
2020/10/30, 61, 85, 17, , 1
2020/10/31, 62, 114, 16, , 3
2020/11/1, 86, 92, 16, , 
2020/11/2, 72, 91, 19, , 
2020/11/3, 87, 98, 21, , 
2020/11/4, 111, 127, 22, , 1
2020/11/5, 147, 113, 16, , 
2020/11/6, 156, 80, 15, , 
2020/11/7, 117, 175, 25, , 
2020/11/8, 133, 117, 9, , 8
2020/11/9, 128, 89, 2, , 2
2020/11/10, 100, 94, 2, , 2
2020/11/11, 74, 101, 1, , 1
2020/11/12, 148, , , , 
2020/11/18, 101, 156, 1, , 1
2020/11/19, 117, 210, 1, , 1
2020/11/20, 142, 168, 1, , 1
2020/11/21, 152, 163, 1, , 1
2020/11/22, 153, 123, 1, , 1
2020/11/23, 126, 115, 1, , 1
2020/11/24, 139, 133, 1, , 1
2020/11/25, 141, 119, 1, , 1
2020/11/26, 142, 106, 1, , 1
2020/11/27, 108, 86, 1, , 1
2020/11/28, 67, 104, 1, , 2
