date, pm25, pm10, o3, no2, so2, co
2021/4/1, 132, 59, 35, 12, , 4
2021/4/2, 96, 41, 40, 8, 1, 2
2021/4/3, 59, 19, 25, 4, , 1
2021/4/4, 21, 31, 27, 5, 9, 1
2021/4/5, 37, 28, 29, 4, 10, 1
2021/4/6, 37, 32, 25, 4, 11, 2
2021/4/7, 46, , , , , 
2021/4/15, 57, 39, 31, 8, 11, 2
2021/4/16, 55, , , , , 
2021/3/1, 32, 23, 13, 6, 2, 1
2021/3/2, 31, 18, 15, 5, 2, 1
2021/3/3, 24, 25, 18, 4, 2, 1
2021/3/4, 38, 30, 27, 9, 2, 3
2021/3/5, 40, 29, 36, 8, 2, 2
2021/3/6, 37, 34, 24, 6, 2, 2
2021/3/7, 49, 16, 28, 4, 2, 1
2021/3/8, 22, 29, 18, 6, 2, 2
2021/3/9, 36, 24, 21, 5, 2, 2
2021/3/10, 31, 23, 22, 4, 2, 1
2021/3/11, 30, 25, 24, 5, 2, 2
2021/3/12, 32, 30, 27, 5, 2, 2
2021/3/13, 42, 38, 32, 6, 2, 2
2021/3/14, 55, 48, 35, 10, 2, 3
2021/3/15, 70, 53, 38, 10, 2, 4
2021/3/16, 82, 50, 41, 12, 2, 3
2021/3/17, 69, 31, 31, 6, 2, 2
2021/3/18, 39, 36, 33, 9, 2, 3
2021/3/19, 47, 48, 30, 10, 2, 4
2021/3/20, 74, 42, 34, 6, 3, 2
2021/3/21, 63, 16, 32, 2, 2, 1
2021/3/22, 21, 14, 37, 2, 2, 2
2021/3/23, 19, 18, 25, 4, 2, 2
2021/3/24, 22, 13, 20, 4, 2, 1
2021/3/25, 15, 17, 22, 3, 2, 1
2021/3/26, 18, 31, 32, 8, 2, 2
2021/3/27, 40, 44, 30, 13, 3, 4
2021/3/28, 60, 56, 36, 12, 3, 4
2021/3/29, 92, 67, 33, 15, 6, 5
2021/3/30, 117, 87, 43, 18, 1, 6
2021/3/31, 160, 76, 37, 16, , 5
2021/2/1, 20, 17, 30, 3, 1, 1
2021/2/2, 21, 19, 28, 2, 1, 1
2021/2/3, 26, 19, 29, 3, 1, 1
2021/2/4, 26, 18, 24, 4, 1, 1
2021/2/5, 22, 20, 22, 3, 1, 1
2021/2/6, 25, 18, 18, 4, 1, 2
2021/2/7, 22, 19, 16, 3, 1, 1
2021/2/8, 26, 21, 14, 5, 1, 2
2021/2/9, 27, 24, 17, 6, 2, 3
2021/2/10, 38, 16, 33, 4, 1, 2
2021/2/11, 25, , , , , 
2021/2/15, 45, 32, 35, 7, 1, 2
2021/2/16, 48, 31, 38, 3, 1, 1
2021/2/17, 49, 25, 41, 1, 1, 1
2021/2/18, 36, 22, 37, 2, 1, 1
2021/2/19, 30, , , , , 
2021/2/23, 54, 42, 37, 10, 1, 3
2021/2/24, 63, 65, 34, 14, 2, 5
2021/2/25, 116, 73, 41, 16, 2, 6
2021/2/26, 135, 59, 37, 12, 2, 4
2021/2/27, 105, 20, 23, 5, 2, 2
2021/2/28, 24, 26, 21, 8, 2, 2
2021/1/4, 3, 5, 27, 2, 1, 1
2021/1/5, 5, 7, 22, 3, 1, 1
2021/1/6, 7, 11, 23, 3, 1, 1
2021/1/7, 13, 10, 27, 2, 1, 1
2021/1/8, 12, 6, 30, 2, 1, 2
2021/1/9, 3, 7, 29, 3, 1, 2
2021/1/10, 7, 8, 32, 2, 1, 1
2021/1/11, 6, 8, 27, 3, 1, 2
2021/1/12, 8, 20, 34, 6, 1, 2
2021/1/13, 27, 27, 16, 5, , 2
2021/1/14, 41, 25, 30, 7, 1, 2
2021/1/15, 29, 30, 25, 6, 1, 2
2021/1/16, 41, 20, 36, 1, 1, 1
2021/1/17, 27, 35, 46, 2, 1, 1
2021/1/18, 46, 39, 40, 5, 1, 2
2021/1/19, 54, 23, 72, 6, 1, 2
2021/1/20, 29, 17, 16, 4, 1, 2
2021/1/21, 21, 23, 17, 7, 1, 3
2021/1/22, 29, 24, 19, 8, 1, 3
2021/1/23, 31, 35, 20, 10, 1, 3
2021/1/24, 48, 43, 26, 10, 1, 4
2021/1/25, 64, 35, 29, 5, 1, 2
2021/1/26, 51, 23, 23, 5, 1, 2
2021/1/27, 30, 14, 33, 2, 1, 1
2021/1/28, 17, 25, 41, 1, 1, 1
2021/1/29, 39, 25, 34, 4, 1, 2
2021/1/30, 34, 20, 28, 4, 1, 1
2021/1/31, 26, 17, 29, 3, 1, 1
2020/10/1, 14, 8, 12, 3, 15, 1
2020/10/2, 9, 16, 14, 7, 16, 2
2020/10/3, 15, 12, 10, 5, 16, 1
2020/10/4, 12, 12, 17, 5, 16, 2
2020/10/5, 12, 14, 18, 6, 17, 2
2020/10/6, 13, 7, 11, 7, 18, 2
2020/10/7, 6, 9, 14, 2, 16, 1
2020/10/8, 9, 8, 13, 3, 17, 2
2020/10/9, 7, 7, 16, 3, 16, 2
2020/10/10, 6, 5, 23, 6, 18, 1
2020/10/11, 5, 8, 20, 9, 18, 3
2020/10/12, 6, 18, 18, 10, 24, 4
2020/10/13, 18, 14, 19, 7, 40, 3
2020/10/14, 16, 15, 18, 7, 39, 3
2020/10/15, 16, 12, 10, 8, 43, 4
2020/10/16, 10, 3, 15, 5, 48, 2
2020/10/17, 3, 7, 13, 5, 40, 3
2020/10/18, 6, 7, 11, 6, 33, 3
2020/10/19, 7, 10, 13, 2, 27, 1
2020/10/20, 8, 9, 31, 4, 28, 2
2020/10/21, 11, 16, 22, 8, 25, 4
2020/10/22, 19, 19, 20, 7, 24, 2
2020/10/23, 23, 27, 18, 7, 23, 2
2020/10/24, 32, , , , , 
2020/11/8, 38, 15, 49, 1, 1, 2
2020/11/9, 22, 4, 32, 5, , 2
2020/11/10, 4, 7, 27, 2, 2, 1
2020/11/11, 9, 6, 26, 1, 1, 1
2020/11/12, 7, 16, 31, 3, , 1
2020/11/13, 20, 27, 26, 11, 1, 3
2020/11/14, 34, 17, 19, 6, 1, 2
2020/11/15, 23, 10, 13, 2, 1, 1
2020/11/16, 15, 11, 14, 2, , 1
2020/11/17, 14, 13, 15, 3, 1, 1
2020/11/18, 17, 16, 13, 4, 5, 1
2020/11/19, 20, 15, 13, 3, 3, 1
2020/11/20, 21, 18, 11, 4, 3, 1
2020/11/21, 26, 16, 14, 3, 2, 1
2020/11/22, 23, 12, 18, 2, 2, 1
2020/11/23, 16, 12, 19, 2, 2, 1
2020/11/24, 15, 20, 24, 2, 2, 1
2020/11/25, 28, 14, 22, 3, 1, 1
2020/11/26, 18, 14, 25, 1, 1, 1
2020/11/27, 14, 12, 25, 2, 1, 1
2020/11/28, 17, 5, 24, 2, 3, 1
2020/11/29, 5, 4, 26, 1, 3, 1
2020/11/30, 3, 7, 27, 1, 1, 1
2020/12/1, 8, 7, 31, 1, 1, 1
2020/12/2, 9, 10, 34, 1, 3, 1
2020/12/3, 13, 18, 37, 2, 1, 1
2020/12/4, 27, 8, 36, 2, 1, 1
2020/12/5, 11, , , , , 
2020/12/7, 6, 9, 35, 1, 1, 1
2020/12/8, 12, 7, 36, 2, 1, 1
2020/12/9, 8, 10, 26, 4, 1, 2
2020/12/10, 14, 14, 22, 5, 2, 2
2020/12/11, 18, 12, 17, 4, 2, 1
2020/12/12, 14, 18, 16, 5, 1, 2
2020/12/13, 23, 14, 13, 4, 2, 1
2020/12/14, 17, 10, 17, 2, 2, 1
2020/12/15, 12, 8, 25, 2, 1, 1
2020/12/16, 9, 8, 24, 2, 1, 1
2020/12/17, 9, 6, 33, 1, 1, 1
2020/12/18, 4, 8, 28, 2, 1, 2
2020/12/19, 10, 7, 29, 1, 1, 1
2020/12/20, 4, 6, 36, 1, 1, 1
2020/12/21, 3, 4, 35, 1, 1, 1
2020/12/22, 3, 11, 24, 4, 1, 1
2020/12/23, 14, 9, 27, 3, 1, 1
2020/12/24, 11, 7, 23, 3, 1, 1
2020/12/25, 7, 13, 19, 3, 1, 1
2020/12/26, 16, 16, 20, 5, 1, 2
2020/12/27, 19, 15, 19, 5, 1, 2
2020/12/28, 16, 22, 18, 7, 1, 2
2020/12/29, 23, 16, 40, 1, 1, 1
2020/12/30, 18, 17, 44, 2, 1, 2
2020/12/31, 20, 9, 37, 2, 1, 1
2021/1/1, 13, 7, 34, 2, 1, 1
2021/1/2, 9, 7, 33, 2, 1, 1
2021/1/3, 7, 4, 31, 3, 1, 1
2020/7/1, 9, 14, 17, 5, 4, 2
2020/7/2, 14, 11, 14, 5, 4, 2
2020/7/3, 10, 14, 11, 5, 4, 3
2020/7/4, 11, 15, 14, 5, 4, 1
2020/7/5, 14, 17, 14, 8, 4, 3
2020/7/6, 17, 17, 18, 8, 3, 3
2020/7/7, 19, 22, 23, 7, 1, 2
2020/7/8, 24, 21, 17, 8, 1, 2
2020/7/9, 24, 24, 21, 7, 1, 2
2020/7/10, 30, 22, 25, 7, 1, 2
2020/7/11, 29, 22, 23, 8, , 2
2020/7/12, 28, 14, 21, 6, 2, 2
2020/7/13, 17, 12, 19, 6, 1, 1
2020/7/14, 15, 21, 21, 9, 3, 2
2020/7/15, 23, 21, 21, 8, 1, 2
2020/7/16, 26, 17, 17, 7, 2, 2
2020/7/17, 17, 20, 15, 7, 1, 2
2020/7/18, 25, 17, 19, 8, 1, 2
2020/7/19, 18, 22, 20, 8, 1, 2
2020/7/20, 26, 16, 17, 6, 1, 1
2020/7/21, 18, 17, 19, 6, 1, 2
2020/7/22, 21, 22, 17, 7, 1, 2
2020/7/23, 22, 17, 16, 7, 1, 3
2020/7/24, 20, 18, 16, 7, 1, 2
2020/7/25, 21, 26, 20, 8, 1, 2
2020/7/26, 30, 18, 20, 8, 2, 2
2020/7/27, 20, 22, 20, 8, 1, 2
2020/7/28, 22, 17, 17, 6, 1, 1
2020/7/29, 19, 14, 16, 7, 1, 2
2020/7/30, 14, 10, 16, 6, 1, 2
2020/7/31, 8, 3, 18, 2, 2, 1
2020/8/1, 3, 4, 14, 2, 2, 1
2020/8/2, 4, 5, 13, 2, 1, 1
2020/8/3, 5, 7, 12, 3, 1, 2
2020/8/4, 7, 12, 8, 5, 1, 2
2020/8/5, 10, 10, 11, 6, 1, 3
2020/8/6, 10, 10, 11, 4, 1, 1
2020/8/7, 10, , , , , 
2020/8/9, 6, 7, 11, 3, 2, 2
2020/8/10, 5, 8, 13, 4, 1, 2
2020/8/11, 6, 9, 12, 6, 2, 2
2020/8/12, 9, 14, 14, 7, 2, 3
2020/8/13, 16, 11, 13, 5, 3, 2
2020/8/14, 11, 12, 11, 4, 3, 2
2020/8/15, 11, 21, 10, 4, 3, 2
2020/8/16, 19, 26, 11, 4, 3, 2
2020/8/17, 20, 22, 12, 6, 4, 2
2020/8/18, 20, 12, 14, 5, 5, 2
2020/8/19, 13, 17, 12, 5, 5, 3
2020/8/20, 18, 19, 11, 5, 5, 2
2020/8/21, 18, 17, 13, 5, 3, 2
2020/8/22, 16, 21, 12, 6, 3, 2
2020/8/23, 23, 24, 13, 5, 3, 2
2020/8/24, 27, 23, 9, 5, 4, 2
2020/8/25, 22, 24, 18, 5, 4, 1
2020/8/26, 25, 22, 21, 5, 4, 2
2020/8/27, 24, 21, 13, 7, 5, 2
2020/8/28, 22, 14, 11, 5, 6, 1
2020/8/29, 12, 22, 14, 5, 5, 2
2020/8/30, 23, 21, 15, 5, 6, 2
2020/8/31, 24, 15, 16, 5, 6, 2
2020/9/1, 17, 13, 18, 6, 7, 2
2020/9/2, 14, 17, 19, 5, 7, 2
2020/9/3, 22, 21, 18, 6, 8, 3
2020/9/4, 24, 21, 22, 6, 8, 2
2020/9/5, 26, 17, 15, 6, 8, 3
2020/9/6, 18, 16, 10, 5, 9, 2
2020/9/7, 17, 21, 13, 6, 9, 2
2020/9/8, 20, 17, 12, 6, 9, 2
2020/9/9, 18, 15, 17, 5, 10, 1
2020/9/10, 18, 18, 13, 6, 10, 2
2020/9/11, 20, 15, 13, 5, 10, 1
2020/9/12, 19, 13, 18, 5, 11, 1
2020/9/13, 16, 14, 13, 7, 11, 2
2020/9/14, 14, 14, 16, 6, 12, 2
2020/9/15, 15, 14, 12, 5, 11, 2
2020/9/16, 14, 9, 9, 4, 11, 2
2020/9/17, 9, 5, 17, 6, 14, 3
2020/9/18, 7, 7, 10, 5, 13, 2
2020/9/19, 7, 13, 12, 6, 13, 3
2020/9/20, 13, 14, 13, 7, 13, 3
2020/9/21, 15, 13, 16, 5, 14, 1
2020/9/22, 13, 17, 14, 7, 14, 2
2020/9/23, 19, 18, 13, 7, 14, 3
2020/9/24, 20, 13, 14, 6, 13, 3
2020/9/25, 13, 13, 10, 7, 14, 3
