date, pm25
2021/4/1, 73
2021/4/2, 73
2021/4/3, 67
2021/4/4, 56
2021/4/5, 86
2021/4/6, 80
2021/4/7, 96
2021/4/8, 105
2021/4/9, 96
2021/4/10, 101
2021/4/11, 70
2021/4/12, 71
2021/4/13, 65
2021/4/14, 56
2021/4/15, 85
2021/4/16, 65
2021/3/1, 51
2021/3/2, 60
2021/3/3, 66
2021/3/4, 68
2021/3/5, 56
2021/3/6, 64
2021/3/7, 57
2021/3/8, 87
2021/3/9, 84
2021/3/10, 86
2021/3/11, 82
2021/3/12, 74
2021/3/13, 91
2021/3/14, 99
2021/3/15, 95
2021/3/16, 79
2021/3/17, 70
2021/3/18, 60
2021/3/19, 58
2021/3/20, 48
2021/3/21, 59
2021/3/22, 78
2021/3/23, 98
2021/3/24, 77
2021/3/25, 57
2021/3/26, 61
2021/3/27, 63
2021/3/28, 57
2021/3/29, 57
2021/3/30, 74
2021/3/31, 76
2021/2/1, 107
2021/2/2, 98
2021/2/3, 108
2021/2/4, 115
2021/2/5, 116
2021/2/6, 115
2021/2/7, 114
2021/2/8, 96
2021/2/9, 91
2021/2/10, 64
2021/2/11, 62
2021/2/12, 66
2021/2/13, 68
2021/2/14, 63
2021/2/15, 68
2021/2/16, 67
2021/2/17, 59
2021/2/18, 94
2021/2/19, 84
2021/2/20, 88
2021/2/21, 100
2021/2/22, 73
2021/2/23, 85
2021/2/24, 73
2021/2/25, 76
2021/2/26, 80
2021/2/27, 102
2021/2/28, 59
2021/1/4, 86
2021/1/5, 78
2021/1/6, 69
2021/1/7, 81
2021/1/8, 117
2021/1/9, 96
2021/1/10, 97
2021/1/11, 98
2021/1/12, 70
2021/1/13, 109
2021/1/14, 121
2021/1/15, 112
2021/1/16, 119
2021/1/17, 85
2021/1/18, 81
2021/1/19, 153
2021/1/20, 158
2021/1/21, 125
2021/1/22, 98
2021/1/23, 94
2021/1/24, 85
2021/1/25, 101
2021/1/26, 109
2021/1/27, 114
2021/1/28, 107
2021/1/29, 108
2021/1/30, 135
2021/1/31, 120
2020/10/1, 60
2020/10/2, 76
2020/10/3, 75
2020/10/4, 45
2020/10/5, 50
2020/10/6, 67
2020/10/7, 63
2020/10/8, 48
2020/10/9, 58
2020/10/10, 83
2020/10/11, 50
2020/10/12, 46
2020/10/13, 58
2020/10/14, 49
2020/10/15, 51
2020/10/16, 40
2020/10/17, 37
2020/10/18, 44
2020/10/19, 56
2020/10/20, 63
2020/10/21, 56
2020/10/22, 102
2020/10/23, 70
2020/10/24, 85
2020/10/25, 70
2020/10/26, 97
2020/10/27, 87
2020/10/28, 79
2020/10/29, 58
2020/10/30, 72
2020/10/31, 78
2020/11/1, 63
2020/11/2, 63
2020/11/3, 102
2020/11/4, 97
2020/11/5, 110
2020/11/6, 87
2020/11/7, 73
2020/11/8, 81
2020/11/9, 93
2020/11/10, 83
2020/11/11, 71
2020/11/12, 100
2020/11/13, 86
2020/11/14, 80
2020/11/15, 90
2020/11/16, 90
2020/11/17, 103
2020/11/18, 84
2020/11/19, 85
2020/11/20, 68
2020/11/21, 110
2020/11/22, 92
