date, pm25, pm10, o3, no2, so2, co
2021/4/1, 147, 46, 2, 3, 87, 78
2021/4/2, 85, 25, 2, 2, 48, 37
2021/4/3, 37, 10, 3, 2, 55, 35
2021/4/4, 62, 24, 2, 1, 92, 72
2021/4/5, 100, 51, 2, 1, 55, 32
2021/4/6, 110, 22, 2, 2, 103, 76
2021/4/7, 57, 20, 3, 2, 62, 33
2021/4/8, 54, 48, 3, 1, 63, 40
2021/4/9, 107, 40, 2, 1, 109, 78
2021/4/10, 93, 44, 2, 2, 61, 36
2021/4/11, 99, 32, 2, 2, 65, 38
2021/4/12, 89, 16, 2, 1, 96, 75
2021/4/13, 59, 49, 3, 1, 55, 36
2021/4/14, 72, 168, 3, 1, 57, 37
2021/4/15, 172, 164, 2, 2, 62, 38
2021/4/16, 180, 103, 2, 1, 62, 37
2021/4/17, 142, , 2, 1, 72, 40
2021/4/22, 188, 208, 2, 2, 55, 36
2021/4/23, 211, 64, 3, 2, 52, 37
2021/4/24, 174, 1, 2, 2, 83, 76
2021/3/2, 19, 7, 3, 3, 49, 32
2021/3/3, 28, 14, 2, 3, 32, 32
2021/3/4, 44, 14, 2, 3, 42, 36
2021/3/5, 47, 10, 3, 3, 44, 34
2021/3/6, 39, 2, 3, 5, 38, 37
2021/3/7, 30, 8, 2, 4, 44, 36
2021/3/8, 64, 19, 3, 2, 48, 37
2021/3/9, 82, 28, 3, 2, 36, 33
2021/3/10, 93, 30, 2, 2, 41, 34
2021/3/11, 64, 22, 3, 3, 37, 38
2021/3/12, 25, 6, 2, 2, 25, 36
2021/3/13, 37, 7, 2, 4, 42, 36
2021/3/14, 58, 15, 3, 6, 76, 40
2021/3/15, 40, 7, 2, 2, 39, 34
2021/3/16, 67, 29, 2, 2, 14, 34
2021/3/17, 50, 20, 3, 2, 21, 35
2021/3/18, 34, 14, 3, 1, 22, 35
2021/3/19, 25, 7, 2, 2, 37, 35
2021/3/20, 21, 5, 2, 1, 52, 37
2021/3/21, 62, 26, 3, 1, 43, 37
2021/3/22, 102, 45, 3, 2, 35, 32
2021/3/23, 101, 34, 3, 2, 93, 73
2021/3/24, 119, 38, 2, 5, 51, 33
2021/3/25, 129, 42, 2, 3, 62, 40
2021/3/26, 149, 61, 3, 2, 84, 73
2021/3/27, 118, 42, 2, 2, 40, 35
