date, pm25, pm10, o3, no2, so2, co
2021/4/1, 47, 38, 9, 10, 12, 5
2021/4/2, 44, 37, 11, 9, 12, 5
2021/4/3, 45, 31, 4, 8, 12, 6
2021/4/4, 40, 48, 13, 14, 13, 6
2021/4/5, 75, 58, 13, 28, 13, 6
2021/4/6, 84, 37, 24, 14, 12, 6
2021/4/7, 45, 43, 20, 10, 12, 6
2021/4/8, 47, 44, 8, 16, 13, 6
2021/4/9, 47, 60, 10, 23, 13, 6
2021/4/10, 91, 35, 21, 11, 12, 5
2021/4/11, 51, 40, 16, 9, 12, 5
2021/4/12, 47, 34, 15, 10, 12, 5
2021/4/13, 38, 36, 14, 7, 12, 5
2021/4/14, 39, 36, 15, 8, 12, 5
2021/4/15, 39, 29, 13, 10, 12, 5
2021/4/16, 35, 31, 7, 8, 12, 6
2021/4/17, 34, 25, 9, 15, 12, 6
2021/4/18, 33, 35, 15, 10, 12, 6
2021/4/19, 44, 30, 17, 8, 12, 5
2021/4/20, 33, , , , , 
2021/3/1, 52, 17, 14, 12, 12, 6
2021/3/2, 19, 13, 15, 8, 12, 7
2021/3/3, 17, 12, 6, 10, 12, 7
2021/3/4, 14, 14, 8, 16, 12, 7
2021/3/5, 18, 41, 2, 18, 12, 6
2021/3/6, 38, 36, 15, 18, 12, 6
2021/3/7, 41, 39, 12, 18, 12, 6
2021/3/8, 57, 40, 19, 13, 12, 5
2021/3/9, 56, 33, 21, 8, 12, 5
2021/3/10, 46, 41, 19, 12, 12, 5
2021/3/11, 54, 44, 22, 11, 12, 6
2021/3/12, 57, 44, 28, 11, 12, 6
2021/3/13, 56, 42, 25, 10, 12, 6
2021/3/14, 46, 32, 22, 12, 12, 5
2021/3/15, 40, 42, 20, 17, 12, 6
2021/3/16, 48, 45, 20, 11, 12, 6
2021/3/17, 53, , , , , 
2021/3/19, 70, 38, 8, 11, 12, 5
2021/3/20, 42, 20, 15, 9, 12, 6
2021/3/21, 24, 15, 11, 12, 12, 6
2021/3/22, 22, , , , , 
2021/3/29, 24, 46, 14, 8, 12, 6
2021/3/30, 54, 49, 12, 7, 12, 6
2021/3/31, 61, 41, 12, 7, 12, 5
2021/2/15, 9, 14, 28, 9, 12, 5
2021/2/16, 18, 17, 26, 9, 12, 6
2021/2/17, 20, 24, 26, 15, 12, 6
2021/2/18, 28, 29, 38, 16, 12, 6
2021/2/19, 37, 36, 37, 13, 12, 5
2021/2/20, 47, 29, 33, 11, 12, 5
2021/2/21, 36, 28, 28, 8, 12, 5
2021/2/22, 34, 23, 25, 8, 12, 5
2021/2/23, 27, 25, 25, 10, , 5
2021/2/24, 27, 25, 18, 10, , 5
2021/2/25, 27, 39, 8, 17, 12, 5
2021/2/26, 43, 36, 5, 16, 14, 6
2021/2/27, 49, 34, 2, 15, 13, 6
2021/2/28, 52, 41, 6, 11, 12, 5
2021/3/18, , 62, 3, 15, 13, 6
2021/3/28, , 20, 9, 11, 12, 6
2021/2/14, , 6, 28, 5, 12, 5
